('Action', Decimal('1135.0069'))
('Adventure', Decimal('1431.5107'))
('Fantasy', Decimal('1321.3459'))
('Science Fiction', Decimal('1426.8358'))
('Crime', Decimal('754.5265'))
('Drama', Decimal('531.8330'))
('Thriller', Decimal('772.8454'))
('Animation', Decimal('1246.1709'))
('Family', Decimal('904.6128'))
('Western', Decimal('607.8537'))
('Comedy', Decimal('526.0929'))
('Romance', Decimal('454.5045'))
('Horror', Decimal('495.2119'))
('Mystery', Decimal('799.1466'))
('History', Decimal('486.7919'))
('War', Decimal('756.6458'))
('Music', Decimal('300.4973'))
('Documentary', Decimal('70.5909'))
('Foreign', Decimal('10.7647'))
('TV Movie', Decimal('209.7500'))
